Empresa,Valor
Banco Bradesco,BBDC4
Hapvida,HAPV3
Petrobras,PETR4
Cogna,COGN3
Ambev,ABEV3
Itaúsa,ITSA4
B3,B3SA3
Banco Bradesco,BBDC3
Itaú Unibanco,ITUB4
Cielo,CIEL3
Magazine Luiza,MGLU3
Americanas,AMER3
Infracommerce,IFCM3
Petrobras,PETR3
Locaweb,LWSA3
MRV,MRVE3
Rumo,RAIL3
Copel,CPLE6
CEMIG,CMIG4
CVC,CVCB3
Vale,VALE3
Banco do Brasil,BBAS3
Raízen,RAIZ4
CSN Mineração,CMIN3
Lojas Renner,LREN3
Grupo CCR,CCRO3
Azul,AZUL4
Grupo Soma,SOMA3
Suzano,SUZB3
Equatorial Energia,EQTL3
Hidrovias do Brasil,HBSA3
Cosan,CSAN3
PetroRio,PRIO3
Usiminas,USIM5
Azevedo & Travassos,AZEV4
Gerdau,GGBR4
JBS,JBSS3
BRF,BRFS3
Assaí,ASAI3
Eletrobras,ELET3
Embraer,EMBR3
Grupo Vamos,VAMO3
Minerva,BEEF3
GOL,GOLL4
WEG,WEGE3
Grupo Mateus,GMAT3
Vibra Energia,VBBR3
Natura,NTCO3
Oi,OIBR3
Sabesp,SBSP3
Metalúrgica Gerdau,GOAU4
Auren Energia,AURE3
Klabin,KLBN4
Petz,PETZ3
RaiaDrogasil,RADL3
AES Brasil,AESB3
Rede D'Or,RDOR3
Ultrapar,UGPA3
Grupo Pão de Açúcar,PCAR3
Eneva,ENEV3
Localiza,RENT3
Santos Brasil,STBP3
TIM,TIMS3
Transmissão Paulista,TRPL4
Marfrig,MRFG3
Copel,CPLE3
JHSF,JHSF3
Carrefour Brasil,CRFB3
YDUQS,YDUQ3
Marcopolo,POMO4
ClearSale,CLSA3
Allos,ALOS3
Siderúrgica Nacional,CSNA3
EcoRodovias,ECOR3
Simpar,SIMH3
Movida,MOVI3
Totvs,TOTS3
BB Seguridade,BBSE3
Cyrela,CYRE3
Vivara,VIVA3
Qualicorp,QUAL3
Vivo,VIVT3
Dexco,DXCO3
Casas Bahia,BHIA3
Lojas Quero-Quero,LJQQ3
Ânima Educação,ANIM3
3R Petroleum,RRRP3
Direcional,DIRR3
Bradespar,BRAP4
SLC Agrícola,SLCE3
Gafisa,GFSA3
Oncoclínicas,ONCO3
Smart Fit,SMFT3
Alpargatas,ALPA4
CBA,CBAV3
Multilaser,MLAS3
Multiplan,MULT3
Fleury,FLRY3
EZTEC,EZTC3
Braskem,BRKM5
C&A,CEAB3
Ambipar,AMBP3
Light,LIGT3
Hypera,HYPE3
Eletrobras,ELET6
Sanepar,SAPR4
PetroRecôncavo,RECV3
Viveo,VVEO3
CPFL Energia,CPFE3
São Martinho,SMTO3
Grupo SBF,SBFG3
Arezzo,ARZZ3
Randon,RAPT4
Serena Energia,SRNA3
Cury,CURY3
Construtora Tenda,TEND3
PDG Realty,PDGR3
Enjoei,ENJU3
Kora Saúde,KRSA3
Caixa Seguridade,CXSE3
Dasa,DASA3
COPASA,CSMG3
Banrisul,BRSR6
Cruzeiro do Sul Educacional,CSED3
Guararapes,GUAR3
Mills,MILS3
Neoenergia,NEOE3
Engie,EGIE3
Neogrid,NGRD3
Banco Pan,BPAN4
Odontoprev,ODPV3
Iochpe-Maxion,MYPK3
Enauta,ENAT3
Mitre Realty,MTRE3
Porto Seguro,PSSA3
Ser Educacional,SEER3
Positivo,POSI3
Grendene,GRND3
Zamp,ZAMP3
Kepler Weber,KEPL3
IRB Brasil RE,IRBR3
Klabin,KLBN3
Ferbasa,FESA4
GPS,GGPS3
Sequoia Logística,SEQL3
Intelbras,INTB3
Itaú Unibanco,ITUB3
Boa Safra Sementes,SOJA3
3tentos,TTEN3
Plano&Plano,PLPL3
Even,EVEN3
Tupy,TUPY3
Mobly,MBLY3
Banco ABC Brasil,ABCB4
Banco BMG,BMGB4
Armac,ARML3
M. Dias Branco,MDIA3
Espaçolaser,ESPA3
Trisul,TRIS3
Pague Menos,PGMN3
Vulcabras,VULC3
JSL,JSLG3
Irani,RANI3
OceanPact,OPCT3
Recrusul,RCSL3
Portobello,PTBL3
Camil Alimentos,CAML3
Schulz,SHUL4
Azevedo & Travassos,AZEV3
Traders Club,TRAD3
Recrusul,RCSL4
Brisanet,BRIT3
Méliuz,CASH3
HBR Realty,HBRE3
Taurus,TASA4
Melnick,MELK3
IMC Alimentação,MEAL3
Jalles Machado,JALL3
Wilson Sons,PORT3
Orizon,ORVR3
Bemobi,BMOB3
Taesa,TAEE4
Valid,VLID3
Mahle Metal Leve,LEVE3
Mater Dei,MATD3
Helbor,HBOR3
Refinaria de Manguinhos,RPMG3
SYN,SYNE3
Priner,PRNR3
Vittia,VITT3
Aeris Energy,AERI3
Technos,TECN3
Usiminas,USIM3
Moura Dubeux,MDNE3
Wiz Soluções,WIZC3
Lavvi Incorporadora,LAVV3
Dimed,PNVL3
Biomm,BIOM3
CEMIG,CMIG3
Taesa,TAEE3
Estapar,ALPK3
Springs,SGPS3
BrasilAgro,AGRO3
Fras-le,FRAS3
Eternit,ETER3
Blau Farmacêutica,BLAU3
Lojas Marisa,AMAR3
Sanepar,SAPR3
Tegma,TGMA3
Marcopolo,POMO3
Indústrias ROMI,ROMI3
Profarma,PFRM3
Itaúsa,ITSA3
LOG CP,LOGG3
Banco Pine,PINE4
Unicasa,UCAS3
Desktop,DESK3
Unipar,UNIP6
Unifique,FIQE3
Lupatech,LUPA3
Allied,ALLD3
Track & Field,TFCO4
Embpar Participações,EPAR3
GetNinjas,NINJ3
AgroGalaxy,AGXY3
Lopes,LPSB3
Bradespar,BRAP3
D1000 Varejo Farma,DMVF3
Banco Santander,SANB4
Renova Energia,RNEW4
Rossi Residencial,RSID3
Eucatex,EUCA4
Time For Fun,SHOW3
Santanense,CTSA4
Banco Santander,SANB3
CSU Cardsystem,CSUD3
Gerdau,GGBR3
Inepar,INEP3
Viver,VIVR3
Metalúrgica Gerdau,GOAU3
Eletromidia,ELMD3
Inepar,INEP4
Paranapanema,PMAM3
Cambuci,CAMB3
Terra Santa,LAND3
Dexxos,DEXP3
Renova Energia,RNEW3
Alliança,AALR3
Padtec,PDTC3
Log-In,LOGN3
Banco Mercantil do Brasil,BMEB4
Tecnisa,TCSA3
